field,type_set,reports_with_field,avg_items_per_report,max_items_in_any_report
patient.drug.openfda.brand_name,str,160347,10.85918663897672,1284
patient.drug.openfda.generic_name,str,160347,1.4114389417949822,132
patient.drug.openfda.manufacturer_name,str,160347,16.266210156722607,493
patient.drug.openfda.product_ndc,str,160347,47.91358117083575,1391
patient.drug.openfda.product_type,str,160347,1.070122920915265,2
patient.drug.openfda.spl_id,str,160347,31.86758717032436,1314
patient.drug.openfda.spl_set_id,str,160347,31.86758717032436,1314
patient.drug.openfda.package_ndc,str,160347,110.58614130604252,4169
patient.drug.openfda.application_number,str,158001,8.637287105777812,72
patient.drug.openfda.route,str,157708,1.5407842341542597,11
patient.drug.openfda.unii,str,157678,1.4352604675351033,339
patient.drug.openfda.substance_name,str,157668,1.4300175051373774,339
patient.drug.openfda.rxcui,str,141487,11.832288478800173,193
patient.drug.openfda.nui,str,109499,2.762098284002594,43
patient.drug.openfda.pharm_class_epc,str,106771,1.2132133257157842,15
patient.drug.openfda.pharm_class_moa,str,80465,1.3574224818243956,13
patient.reaction,dict,36000,3.501361111111111,147
patient.drug,dict,36000,5.24575,1377
patient.drug.openfda.pharm_class_cs,str,35108,1.1822661501652045,17
patient.drug.openfda.pharm_class_pe,str,16455,1.239501671224552,7
reportduplicate,dict,5581,4.721913635549185,426
