field_path,presence_count,presence_percent
patient.drug,36000,100
patient.drug.actiondrug,34485,95.79166667
patient.drug.activesubstance,36000,100
patient.drug.activesubstance.activesubstancename,36000,100
patient.drug.drugadditional,28117,78.10277778
patient.drug.drugadministrationroute,30833,85.64722222
patient.drug.drugauthorizationnumb,33368,92.68888889
patient.drug.drugbatchnumb,15418,42.82777778
patient.drug.drugcharacterization,36000,100
patient.drug.drugcumulativedosagenumb,1348,3.744444444
patient.drug.drugcumulativedosageunit,1348,3.744444444
patient.drug.drugdosageform,28650,79.58333333
patient.drug.drugdosagetext,29864,82.95555556
patient.drug.drugenddate,8429,23.41388889
patient.drug.drugenddateformat,8429,23.41388889
patient.drug.drugindication,34015,94.48611111
patient.drug.drugintervaldosagedefinition,17595,48.875
patient.drug.drugintervaldosageunitnumb,17595,48.875
patient.drug.drugrecurreadministration,4658,12.93888889
patient.drug.drugseparatedosagenumb,18332,50.92222222
patient.drug.drugstartdate,18032,50.08888889
patient.drug.drugstartdateformat,18032,50.08888889
patient.drug.drugstructuredosagenumb,23461,65.16944444
patient.drug.drugstructuredosageunit,23424,65.06666667
patient.drug.drugtreatmentduration,6211,17.25277778
patient.drug.drugtreatmentdurationunit,6211,17.25277778
patient.drug.medicinalproduct,36000,100
