field,num_unique,unique_values
transmissiondate,2,"['20240409', '20240410']"
serious,2,"['1', '2']"
seriousnessdeath,2,"['1', '2']"
seriousnesslifethreatening,2,"['1', '2']"
seriousnesshospitalization,2,"['1', '2']"
seriousnessdisabling,2,"['1', '2']"
seriousnesscongenitalanomali,2,"['1', '2']"
seriousnessother,2,"['1', '2']"
reporttype,3,"['1', '2', '3']"
patient.patientsex,3,"['0', '1', '2']"
fulfillexpeditecriteria,5,"['1', '2', '3', '4', '5']"
primarysource.qualification,5,"['1', '2', '3', '4', '5']"
patient.patientonsetageunit,6,"['800', '801', '802', '803', '804', '805']"
patient.patientagegroup,6,"['1', '2', '3', '4', '5', '6']"
