safetyreportid,field_count_raw,field_count_converted
19520083,68,68
19529532,72,72
19652409,80,80
19773719,75,75
19779685,68,68
19854733,77,77
20199698,67,67
20207315,70,70
16639124,73,73
17350332,67,67
17870500,65,65
17998181,72,72
18064023,59,59
18269679,54,54
20885324,65,65
23661293,46,46
23361967,82,82
23661550,64,64
22947572,63,63
23663466,76,76
22957049,82,82
20968483,83,83
22959102,83,83
21014642,77,77
22959627,74,74
21108750,76,76
23656546,73,73
21125221,76,76
23659057,72,72
21187979,72,72
23662501,66,66
21200766,68,68
23662554,79,79
22532208,80,80
23367813,65,65
21215575,72,72
23368623,76,76
22588461,73,73
23369433,79,79
22611426,62,62
23666280,69,69
23665329,67,67
23666752,47,47
23667125,82,82
23370972,74,74
23668999,73,73
23372268,56,56
23671108,60,60
23372835,67,67
21368947,77,77
23373821,70,70
21422988,78,78
23375036,70,70
21482199,72,72
23671383,76,76
21501924,67,67
23376170,70,70
21550672,80,80
23376547,74,74
21576254,73,73
21202947,66,66
21577011,76,76
21316118,77,77
18476743,75,75
21317777,77,77
18542839,73,73
21435026,70,70
23674253,72,72
23672584,77,77
23674820,70,70
23674986,66,66
18981049,72,72
23675271,59,59
19495156,77,77
23677215,66,66
22788274,80,80
23677701,72,72
22802248,75,75
23678807,64,64
22822875,74,74
23379692,66,66
22842882,76,76
23380100,76,76
22863928,71,71
23380287,69,69
22866143,82,82
23381044,70,70
23676211,67,67
23381893,72,72
23676884,61,61
23382421,65,65
23678613,77,77
23382731,78,78
23680180,56,56
23382812,68,68
23681448,72,72
23383541,76,76
21753334,83,83
23383608,78,78
21774771,69,69
23383770,80,80
21817324,74,74
23383851,78,78
21817810,73,73
23385013,79,79
21820740,67,67
23385767,70,70
22901688,77,77
23386524,81,81
22918402,86,86
23679941,74,74
22923396,80,80
23680321,48,48
22936585,70,70
23680536,74,74
19769503,80,80
23681818,72,72
19841755,71,71
23682075,74,74
20018458,75,75
23682628,68,68
20098324,78,78
23683667,77,77
20257341,68,68
23683843,67,67
20456788,76,76
23387725,74,74
23683378,79,79
23387806,72,72
23683635,77,77
23388063,73,73
23683998,82,82
23388144,83,83
23686160,65,65
23388764,73,73
23686713,79,79
21504524,70,70
23686847,76,76
21509518,72,72
23687118,67,67
21545549,60,60
22970686,72,72
21565813,75,75
22997955,82,82
21606503,71,71
23010703,71,71
21620664,80,80
23022258,61,61
21632018,75,75
23062434,75,75
21718875,68,68
23689615,68,68
21731944,71,71
21899902,72,72
21738600,73,73
21919613,72,72
22961222,76,76
21936447,67,67
22964649,78,78
21984871,69,69
22970523,75,75
22023821,65,65
23028438,73,73
22043814,69,69
23046959,72,72
22050456,66,66
23051227,75,75
20543905,54,54
23062081,66,66
20566962,68,68
23063363,78,78
20574590,73,73
23685072,68,68
20705419,85,85
23685382,70,70
20715139,66,66
23685678,69,69
20761686,68,68
23391250,69,69
20813378,76,76
23392828,71,71
20904922,76,76
23688527,64,64
20929060,78,78
23689580,68,68
20949215,73,73
21828549,78,78
22063793,75,75
21876434,72,72
22075066,73,73
21881942,59,59
22082923,66,66
21892768,78,78
22085029,59,59
21902706,73,73
22095006,70,70
21932958,66,66
22104335,70,70
21949549,71,71
22131685,83,83
21954613,73,73
22135559,73,73
21960216,68,68
22161183,86,86
23396473,68,68
22174453,68,68
23397311,68,68
23125533,75,75
23397540,66,66
23131365,74,74
23074189,76,76
23135806,66,66
23089741,76,76
23143906,65,65
23093171,72,72
23146727,61,61
23100718,74,74
23153936,73,73
23112410,83,83
23155880,83,83
23118348,72,72
23160578,76,76
21991926,71,71
23162455,60,60
22006104,72,72
23169407,76,76
22016525,65,65
23169555,76,76
22018455,57,57
20995304,84,84
22022614,67,67
21024425,76,76
22025301,75,75
21047806,62,62
22035775,68,68
21155293,62,62
22064234,67,67
21186101,71,71
22068580,57,57
21302350,69,69
22078529,80,80
21341188,69,69
22078624,81,81
21365393,73,73
22112186,67,67
22227494,81,81
22113482,75,75
22227603,67,67
22123917,74,74
22258302,69,69
22134232,65,65
22287663,73,73
23398202,69,69
22287973,69,69
23399375,69,69
22290230,70,70
11520409,54,54
22291202,71,71
14415793,63,63
22316231,70,70
15838678,61,61
23175725,66,66
16214789,73,73
23175820,83,83
23123250,50,50
23176359,73,73
23126705,69,69
23193330,77,77
23132551,70,70
23194274,76,76
23146455,67,67
23198324,74,74
23146712,71,71
23199363,68,68
23147832,72,72
23204265,75,75
23150128,69,69
23204427,63,63
23150371,71,71
23210516,51,51
23151653,83,83
23210583,83,83
23160415,68,68
23213795,77,77
23164842,78,78
23214633,83,83
22163540,65,65
23215362,82,82
22192739,68,68
23218426,73,73
22194144,73,73
23224797,63,63
22223561,62,62
23227389,67,67
22237870,71,71
23228375,78,78
22255838,76,76
23239014,67,67
22273739,73,73
23244265,74,74
22309784,70,70
22335777,68,68
22313390,73,73
22380746,73,73
23169311,64,64
21570809,69,69
23174009,81,81
21593880,70,70
23179341,76,76
22592413,71,71
23187508,65,65
21671735,69,69
23189061,75,75
22615121,67,67
23191949,76,76
13182687,77,77
23192463,73,73
13332903,62,62
23200443,81,81
14656077,73,73
23202926,74,74
14918746,72,72
23407746,69,69
15923484,72,72
23409313,74,74
16069675,86,86
23207152,69,69
16200289,82,82
23213618,82,82
23256334,83,83
23224067,49,49
23258602,72,72
23226430,67,67
23261923,76,76
23227684,80,80
23264272,81,81
23234488,76,76
23267822,83,83
23410933,83,83
23269442,65,65
22320585,77,77
23269738,56,56
22320666,69,69
23271724,74,74
22339310,66,66
23272224,77,77
22360909,80,80
23275098,80,80
22392418,81,81
21778289,70,70
22585575,82,82
21782152,71,71
22589368,70,70
21817683,74,74
23414092,78,78
21880296,71,71
23415145,80,80
21892365,75,75
23415198,56,56
21910995,66,66
23415617,64,64
21929234,70,70
23242764,48,48
21934270,70,70
23243169,77,77
22621115,66,66
23246504,63,63
22624327,67,67
23253065,76,76
22635262,72,72
23255939,73,73
22638636,73,73
23261422,70,70
22653864,67,67
16851368,73,73
22657051,68,68
17493240,71,71
22671198,67,67
23417857,62,62
22679770,75,75
23418614,62,62
23276112,66,66
23419114,61,61
23276732,74,74
17942371,67,67
23277232,71,71
23422178,75,75
23287505,69,69
23422893,78,78
23290826,66,66
23422907,79,79
23294323,73,73
23307698,63,63
23298398,64,64
23308631,74,74
23302451,77,77
23308994,74,74
23303328,78,78
23309751,68,68
23303342,69,69
23312142,48,48
22719636,70,70
23312924,62,62
22741358,76,76
23314368,67,67
22747486,71,71
23324521,63,63
22751645,57,57
23425580,76,76
22757410,69,69
23329515,73,73
22758273,66,66
23340598,66,66
22778442,74,74
23342327,83,83
22781897,74,74
23342813,76,76
22791388,80,80
23428820,59,59
22805524,77,77
23432007,71,71
21964684,71,71
18697573,70,70
21973541,75,75
19095082,65,65
21973932,71,71
23433208,67,67
22045807,71,71
23433303,71,71
22053893,70,70
23434085,51,51
22071956,78,78
23358742,83,83
23307917,77,77
23358809,65,65
23309241,73,73
23358890,59,59
23311280,80,80
23359552,72,72
23313129,59,59
22904824,71,71
23314249,71,71
22908064,80,80
23317732,73,73
22910494,72,72
23320419,71,71
22921119,73,73
23320486,69,69
22926127,74,74
23321243,72,72
22938182,82,82
16847518,70,70
22949737,76,76
16896213,67,67
22953033,76,76
17549316,66,66
22955921,75,75
22825207,75,75
22961362,77,77
22828891,62,62
22973646,68,68
22840192,78,78
22979383,67,67
22849317,60,60
22982031,69,69
22870715,83,83
23360862,67,67
22900375,73,73
23362806,46,46
23324279,82,82
23363588,70,70
23324589,77,77
19457677,71,71
23326709,68,68
