prefix,num_fields,avg_presence,min_presence,max_presence
primarysource,1,100.0,100.0,100.0
receiver.receivertype,1,100.0,100.0,100.0
receivedateformat,1,100.0,100.0,100.0
primarysource.reportercountry,1,100.0,100.0,100.0
sender,1,100.0,100.0,100.0
transmissiondateformat,1,100.0,100.0,100.0
receiptdate,1,100.0,100.0,100.0
patient,1,100.0,100.0,100.0
receiver,1,100.0,100.0,100.0
sender.senderorganization,1,100.0,100.0,100.0
receiver.receiverorganization,1,100.0,100.0,100.0
sender.sendertype,1,100.0,100.0,100.0
receiptdateformat,1,100.0,100.0,100.0
receivedate,1,100.0,100.0,100.0
serious,1,100.0,100.0,100.0
safetyreportid,1,100.0,100.0,100.0
transmissiondate,1,100.0,100.0,100.0
fulfillexpeditecriteria,1,100.0,100.0,100.0
safetyreportversion,1,100.0,100.0,100.0
reporttype,1,99.93055555555556,99.93055555555556,99.93055555555556
primarysourcecountry,1,99.60277777777777,99.60277777777777,99.60277777777777
primarysource.qualification,1,99.39444444444445,99.39444444444445,99.39444444444445
patient.reaction,4,99.08819444444444,96.35277777777777,100.0
seriousnessother,1,97.82222222222222,97.82222222222222,97.82222222222222
seriousnesshospitalization,1,97.67777777777778,97.67777777777778,97.67777777777778
seriousnesslifethreatening,1,96.79722222222222,96.79722222222222,96.79722222222222
seriousnessdeath,1,96.73333333333333,96.73333333333333,96.73333333333333
seriousnessdisabling,1,96.43888888888888,96.43888888888888,96.43888888888888
seriousnesscongenitalanomali,1,96.40833333333333,96.40833333333333,96.40833333333333
occurcountry,1,92.9361111111111,92.9361111111111,92.9361111111111
companynumb,1,89.125,89.125,89.125
patient.patientsex,1,85.9888888888889,85.9888888888889,85.9888888888889
patient.drug,46,71.59371980676329,3.7444444444444445,100.0
patient.patientonsetageunit,1,65.4,65.4,65.4
patient.patientonsetage,1,65.39444444444445,65.39444444444445,65.39444444444445
patient.summary,2,47.07777777777778,47.07777777777778,47.07777777777778
patient.patientagegroup,1,33.875,33.875,33.875
duplicate,1,32.54166666666667,32.54166666666667,32.54166666666667
reportduplicate,1,32.11666666666667,32.11666666666667,32.11666666666667
reportduplicate.duplicatenumb,1,32.10277777777778,32.10277777777778,32.10277777777778
reportduplicate.duplicatesource,1,31.84722222222222,31.84722222222222,31.84722222222222
patient.patientweight,1,19.09722222222222,19.09722222222222,19.09722222222222
authoritynumb,1,10.536111111111111,10.536111111111111,10.536111111111111
primarysource.literaturereference,1,9.191666666666666,9.191666666666666,9.191666666666666
