field,presence_count_raw,presence_pct_raw,presence_count_converted,presence_pct_converted,presence_diff
patient.summary.case_event_date_extracted,0,0,4715,47.15,47.15
patient.drug[].drugbatchnumb,3781,37.81,3909,39.09,1.28
patient.drug[].drugstartdateformat,4568,45.68,4631,46.31,0.63
patient.drug[].drugstartdate,4568,45.68,4631,46.31,0.63
patient.patientsex,8597,85.97,8634,86.34,0.37
patient.drug[].openfda.pharm_class_pe,761,7.61,796,7.96,0.35
patient.patientweight,1905,19.05,1938,19.38,0.33
patient.drug[].drugstructuredosagenumb,5863,58.63,5893,58.93,0.3
patient.drug[].drugseparatedosagenumb,4466,44.66,4493,44.93,0.27
seriousnesscongenitalanomali,9627,96.27,9653,96.53,0.26
seriousnessdisabling,9633,96.33,9657,96.57,0.24
patient.drug[].drugstructuredosageunit,5855,58.55,5879,58.79,0.24
patient.drug[].openfda.application_number,9558,95.58,9581,95.81,0.23
seriousnesslifethreatening,9676,96.76,9697,96.97,0.21
patient.drug[].openfda,9573,95.73,9594,95.94,0.21
patient.drug[].openfda.spl_id,9570,95.7,9591,95.91,0.21
patient.drug[].openfda.brand_name,9570,95.7,9591,95.91,0.21
patient.drug[].openfda.product_type,9570,95.7,9591,95.91,0.21
patient.drug[].openfda.product_ndc,9570,95.7,9591,95.91,0.21
patient.drug[].openfda.package_ndc,9570,95.7,9591,95.91,0.21
patient.drug[].openfda.manufacturer_name,9570,95.7,9591,95.91,0.21
patient.drug[].openfda.spl_set_id,9570,95.7,9591,95.91,0.21
patient.drug[].openfda.generic_name,9570,95.7,9591,95.91,0.21
patient.drug[].drugintervaldosageunitnumb,4047,40.47,4067,40.67,0.2
patient.drug[].drugintervaldosagedefinition,4047,40.47,4067,40.67,0.2
patient.drug[].drugenddateformat,1849,18.49,1869,18.69,0.2
patient.drug[].drugenddate,1849,18.49,1869,18.69,0.2
seriousnesshospitalization,9760,97.6,9779,97.79,0.19
patient.drug[].drugdosageform,7594,75.94,7613,76.13,0.19
patient.drug[].openfda.nui,6930,69.3,6949,69.49,0.19
patient.reaction[].reactionoutcome,9632,96.32,9650,96.5,0.18
seriousnessdeath,9668,96.68,9685,96.85,0.17
patient.drug[].drugauthorizationnumb,9012,90.12,9028,90.28,0.16
seriousnessother,9775,97.75,9789,97.89,0.14
patient.drug[].openfda.rxcui,7958,79.58,7971,79.71,0.13
authoritynumb,1060,10.6,1071,10.71,0.11
patient.summary,4709,47.09,4715,47.15,0.06
patient.summary.narrativeincludeclinical,4709,47.09,4715,47.15,0.06
patient.patientagegroup,3425,34.25,3430,34.3,0.05
patient.drug[].openfda.pharm_class_epc,6817,68.17,6821,68.21,0.04
patient.drug[].actiondrug,9560,95.6,9562,95.62,0.02
patient.drug[].drugtreatmentdurationunit,1302,13.02,1304,13.04,0.02
patient.drug[].drugtreatmentduration,1302,13.02,1304,13.04,0.02
patient.drug[].openfda.substance_name,9186,91.86,9187,91.87,0.01
companynumb,8905,89.05,8906,89.06,0.01
transmissiondateformat,10000,100,10000,100,0
patient.drug[].drugcharacterization,10000,100,10000,100,0
primarysource,10000,100,10000,100,0
sender,10000,100,10000,100,0
patient.reaction,10000,100,10000,100,0
receiptdate,10000,100,10000,100,0
receiver.receiverorganization,10000,100,10000,100,0
patient.drug,10000,100,10000,100,0
receivedateformat,10000,100,10000,100,0
sender.sendertype,10000,100,10000,100,0
patient.drug[].medicinalproduct,10000,100,10000,100,0
patient.reaction[].reactionmeddrapt,10000,100,10000,100,0
receiver.receivertype,10000,100,10000,100,0
transmissiondate,10000,100,10000,100,0
safetyreportid,10000,100,10000,100,0
fulfillexpeditecriteria,10000,100,10000,100,0
patient,10000,100,10000,100,0
serious,10000,100,10000,100,0
receiptdateformat,10000,100,10000,100,0
primarysource.reportercountry,10000,100,10000,100,0
patient.reaction[].reactionmeddraversionpt,10000,100,10000,100,0
sender.senderorganization,10000,100,10000,100,0
receivedate,10000,100,10000,100,0
receiver,10000,100,10000,100,0
safetyreportversion,10000,100,10000,100,0
_id,10000,100,10000,100,0
patient.drug[].activesubstance.activesubstancename,10000,100,9999,99.99,-0.01
patient.drug[].activesubstance,10000,100,9999,99.99,-0.01
patient.drug[].openfda.unii,9189,91.89,9188,91.88,-0.01
patient.drug[].openfda.route,9192,91.92,9189,91.89,-0.03
primarysourcecountry,9964,99.64,9960,99.6,-0.04
patient.drug[].openfda.pharm_class_cs,2449,24.49,2443,24.43,-0.06
patient.drug[].drugcumulativedosagenumb,264,2.64,258,2.58,-0.06
patient.drug[].drugcumulativedosageunit,264,2.64,258,2.58,-0.06
reporttype,9999,99.99,9992,99.92,-0.07
primarysource.qualification,9945,99.45,9935,99.35,-0.1
patient.drug[].openfda.pharm_class_moa,5383,53.83,5371,53.71,-0.12
occurcountry,9307,93.07,9294,92.94,-0.13
reportduplicate[].duplicatesource,1526,15.26,1510,15.1,-0.16
patient.drug[].drugadministrationroute,8444,84.44,8426,84.26,-0.18
patient.drug[].drugdosagetext,7964,79.64,7937,79.37,-0.27
reportduplicate[].duplicatenumb,1558,15.58,1531,15.31,-0.27
primarysource.literaturereference,956,9.56,927,9.27,-0.29
reportduplicate.duplicatesource,1657,16.57,1621,16.21,-0.36
patient.drug[].drugrecurreadministration,1213,12.13,1176,11.76,-0.37
reportduplicate.duplicatenumb,1673,16.73,1633,16.33,-0.4
patient.drug[].drugadditional,7412,74.12,7369,73.69,-0.43
patient.drug[].drugindication,9424,94.24,9375,93.75,-0.49
duplicate,3271,32.71,3220,32.2,-0.51
patient.patientonsetageunit,6601,66.01,6546,65.46,-0.55
patient.patientonsetage,6601,66.01,6544,65.44,-0.57
reportduplicate,3231,32.31,3168,31.68,-0.63
