query,db,mean_time,std_time,run_times
Q1,SQLite,0.007467080000060378,0.00043978510440301655,"[0.007949300001200754, 0.006939999999303836, 0.0073072999985015485, 0.007116500000847736, 0.008022300000448013]"
Q1,MongoDB,0.022580500000185567,0.007656926338757498,"[0.03572619999977178, 0.015045500000269385, 0.014995699999417411, 0.022139400000014575, 0.02499570000145468]"
Q2,SQLite,0.011624999999185093,0.0013035634328992132,"[0.010997899997164495, 0.00960809999742196, 0.013034800002060365, 0.011440199999924516, 0.013043999999354128]"
Q2,MongoDB,0.7339806800009683,0.07604676442430768,"[0.8837378999996872, 0.698662200000399, 0.6989518000009411, 0.7150236000015866, 0.6735279000022274]"
Q3,SQLite,0.0646604399997159,0.008302065127800093,"[0.08052999999927124, 0.06070790000012494, 0.06514650000099209, 0.058431800000107614, 0.05848599999808357]"
Q3,MongoDB,0.0625863000008394,0.004197926768515261,"[0.058874400001514005, 0.06874270000116667, 0.06630059999952209, 0.0581519000006665, 0.06086190000132774]"
Q4,SQLite,0.026217420000466517,0.012904712460623679,"[0.019818799999484327, 0.017363300001306925, 0.02045920000091428, 0.051879300001019146, 0.021566499999607913]"
Q4,MongoDB,0.0698106000003463,0.006619674335525105,"[0.07545100000061211, 0.05871649999971851, 0.06583220000175061, 0.0759226000009221, 0.07313069999872823]"
Q5,SQLite,0.08860156000009738,0.018865940799359854,"[0.12604110000029323, 0.08351159999801894, 0.07833089999985532, 0.07873810000091908, 0.07638610000140034]"
Q5,MongoDB,0.15441257999991648,0.005609078096709851,"[0.16529049999735435, 0.15300850000130595, 0.15257389999896986, 0.1520916000008583, 0.14909840000109398]"
Q6,SQLite,0.004313100000581471,0.0003597172278466195,"[0.004125999999814667, 0.004453900000953581, 0.0038401000019803178, 0.004914500001177657, 0.004230999998981133]"
Q6,MongoDB,0.04285320000053616,0.019102775275487118,"[0.08078970000133268, 0.03739120000318508, 0.03329429999939748, 0.032299200000124983, 0.030491599998640595]"
Q7,SQLite,0.10213103999922168,0.019231930961938728,"[0.14006069999959436, 0.08987290000004577, 0.09149849999812432, 0.09047159999681753, 0.09875150000152644]"
Q7,MongoDB,0.7146643800006132,0.02428218217818839,"[0.6993412000010721, 0.6995284000004176, 0.7108966000014334, 0.7624722000000475, 0.7010835000000952]"
Q8,SQLite,0.10019774000102188,0.024269624226087926,"[0.14851740000085556, 0.09229740000228048, 0.08580540000184556, 0.08617750000121305, 0.08819099999891478]"
Q8,MongoDB,0.2371669000000111,0.001983902933430795,"[0.23936440000034054, 0.23793289999957778, 0.23892649999834248, 0.23472300000139512, 0.2348877000003995]"
Q9,SQLite,0.1914952000013727,0.020262281574998927,"[0.23084630000084871, 0.17871650000233785, 0.19053840000196942, 0.18113700000321842, 0.1762377999984892]"
Q9,MongoDB,0.07442888000005041,0.0006759752672321841,"[0.07512549999955809, 0.07350760000190348, 0.07440549999955692, 0.07387489999746322, 0.07523090000177035]"
Q10,SQLite,0.13338928000011946,0.026245455797394533,"[0.18583650000073249, 0.12066540000159875, 0.12028860000282293, 0.11841949999870849, 0.12173639999673469]"
Q10,MongoDB,0.03892446000027121,0.002128196393989696,"[0.038388400000258116, 0.04302810000081081, 0.037836800001969095, 0.038478499998745974, 0.03689049999957206]"
Q12,SQLite,0.10446939999965252,0.027741373755700374,"[0.15988730000026408, 0.09244559999933699, 0.09139180000056513, 0.08840699999927892, 0.0902152999988175]"
Q12,MongoDB,0.3420431600003212,0.0034754739221378394,"[0.3421572000006563, 0.3428392999994685, 0.3394802000002528, 0.3377796999993734, 0.3479594000018551]"
Q13,SQLite,0.17038031999909437,0.026528382733507286,"[0.22326889999749255, 0.15952330000072834, 0.1547510999989754, 0.1548462999999174, 0.15951199999835808]"
Q13,MongoDB,1.407723659999465,0.09221439332122258,"[1.5416552999995474, 1.472573499999271, 1.339214899999206, 1.4025678999969386, 1.2826067000023613]"
