field_path,presence_count,presence_percent
patient.drug.drugcumulativedosagenumb,1348,3.7444444444444445
patient.drug.drugcumulativedosageunit,1348,3.7444444444444445
primarysource.literaturereference,3309,9.191666666666666
authoritynumb,3793,10.536111111111111
patient.drug.drugrecurreadministration,4658,12.938888888888888
patient.drug.drugtreatmentdurationunit,6211,17.252777777777776
patient.drug.drugtreatmentduration,6211,17.252777777777776
patient.patientweight,6875,19.09722222222222
patient.drug.openfda.pharm_class_pe,7551,20.974999999999998
patient.drug.drugenddate,8429,23.41388888888889
patient.drug.drugenddateformat,8429,23.41388888888889
reportduplicate.duplicatesource,11465,31.84722222222222
reportduplicate.duplicatenumb,11557,32.10277777777778
reportduplicate,11562,32.11666666666667
duplicate,11715,32.54166666666667
patient.patientagegroup,12195,33.875
patient.drug.openfda.pharm_class_cs,15160,42.11111111111111
patient.drug.drugbatchnumb,15418,42.827777777777776
patient.summary.narrativeincludeclinical,16948,47.07777777777778
patient.summary,16948,47.07777777777778
patient.drug.drugintervaldosageunitnumb,17595,48.875
patient.drug.drugintervaldosagedefinition,17595,48.875
patient.drug.drugstartdate,18032,50.088888888888896
patient.drug.drugstartdateformat,18032,50.088888888888896
patient.drug.drugseparatedosagenumb,18332,50.922222222222224
patient.drug.drugstructuredosageunit,23424,65.06666666666666
patient.drug.drugstructuredosagenumb,23461,65.16944444444445
patient.patientonsetage,23542,65.39444444444445
patient.patientonsetageunit,23544,65.4
patient.drug.openfda.pharm_class_moa,24808,68.91111111111111
patient.drug.drugadditional,28117,78.10277777777777
patient.drug.drugdosageform,28650,79.58333333333333
patient.drug.openfda.pharm_class_epc,29095,80.81944444444444
patient.drug.openfda.nui,29363,81.5638888888889
patient.drug.drugdosagetext,29864,82.95555555555556
patient.drug.drugadministrationroute,30833,85.64722222222223
patient.patientsex,30956,85.9888888888889
patient.drug.openfda.rxcui,31012,86.14444444444445
companynumb,32085,89.125
patient.drug.drugauthorizationnumb,33368,92.68888888888888
