table,column,null_pct
report,authoritynumb,89.46
report,duplicate,67.46
report,companynumb,10.88
report,occurcountry,7.06
report,seriousnesscongenitalanomali,3.59
report,seriousnessdisabling,3.56
report,seriousnessdeath,3.27
report,seriousnesslifethreatening,3.2
report,seriousnesshospitalization,2.32
report,seriousnessother,2.18
report,primarysource_qualification,0.61
report,primarysourcecountry,0.4
report,reporttype,0.07
reaction,reactionoutcome,3.07
drug,drugenddate,87.74
drug,drugenddateformat,87.74
drug,drugstartdate,71.49
drug,drugstartdateformat,71.49
drug,drugauthorizationnumb,66.17
drug,drugdosageform,50.28
drug,drugindication,34.44
drug,drugadministrationroute,29.81
drug,drugdosagetext,28.23
drug_optional,drugcumulativedosagenumb,97.61
drug_optional,drugcumulativedosageunit,97.61
drug_optional,drugrecurreadministration,92.82
drug_optional,drugtreatmentduration,90.16
drug_optional,drugtreatmentdurationunit,90.16
drug_optional,drugbatchnumb,77.77
drug_optional,drugintervaldosagedefinition,75.74
drug_optional,drugintervaldosageunitnumb,75.74
drug_optional,drugseparatedosagenumb,72.06
drug_optional,drugstructuredosageunit,55.95
drug_optional,drugstructuredosagenumb,55.93
drug_optional,drugadditional,41.66
drug_optional,actiondrug,29.86
drug_openfda,pharm_class_pe,91.29
drug_openfda,pharm_class_cs,81.41
drug_openfda,pharm_class_moa,57.39
drug_openfda,pharm_class_epc,43.46
drug_openfda,nui,42.02
drug_openfda,rxcui,25.08
drug_openfda,substance_name,16.51
drug_openfda,unii,16.5
drug_openfda,route,16.49
drug_openfda,application_number,16.33
drug_openfda,package_ndc,15.09
drug_openfda,manufacturer_name,15.09
drug_openfda,generic_name,15.09
drug_openfda,product_ndc,15.09
drug_openfda,product_type,15.09
drug_openfda,brand_name,15.09
drug_openfda,spl_id,15.09
drug_openfda,spl_set_id,15.09
patient_optional,patientweight,80.9
patient_optional,patientagegroup,66.12
patient_optional,patientonsetage,34.61
patient_optional,patientonsetageunit,34.6
patient_optional,patientsex,14.01
report_duplicate,duplicatesource,4.85
report_duplicate,duplicatenumb,0.01
