field_path,presence_count,presence_percent
authoritynumb,3793,10.53611111
companynumb,32085,89.125
duplicate,11715,32.54166667
fulfillexpeditecriteria,36000,100
occurcountry,33457,92.93611111
patient.drug.actiondrug,34485,95.79166667
patient.drug.activesubstance.activesubstancename,36000,100
patient.drug.drugadditional,28117,78.10277778
patient.drug.drugadministrationroute,30833,85.64722222
patient.drug.drugauthorizationnumb,33368,92.68888889
patient.drug.drugbatchnumb,15418,42.82777778
patient.drug.drugcharacterization,36000,100
patient.drug.drugcumulativedosagenumb,1348,3.744444444
patient.drug.drugcumulativedosageunit,1348,3.744444444
patient.drug.drugdosageform,28650,79.58333333
patient.drug.drugdosagetext,29864,82.95555556
patient.drug.drugenddate,8429,23.41388889
patient.drug.drugenddateformat,8429,23.41388889
patient.drug.drugindication,34015,94.48611111
patient.drug.drugintervaldosagedefinition,17595,48.875
patient.drug.drugintervaldosageunitnumb,17595,48.875
patient.drug.drugrecurreadministration,4658,12.93888889
patient.drug.drugseparatedosagenumb,18332,50.92222222
patient.drug.drugstartdate,18032,50.08888889
patient.drug.drugstartdateformat,18032,50.08888889
patient.drug.drugstructuredosagenumb,23461,65.16944444
patient.drug.drugstructuredosageunit,23424,65.06666667
patient.drug.drugtreatmentduration,6211,17.25277778
patient.drug.drugtreatmentdurationunit,6211,17.25277778
patient.drug.medicinalproduct,36000,100
patient.drug.openfda.application_number,35660,99.05555556
patient.drug.openfda.brand_name,35666,99.07222222
patient.drug.openfda.generic_name,35666,99.07222222
patient.drug.openfda.manufacturer_name,35666,99.07222222
patient.drug.openfda.nui,29363,81.56388889
patient.drug.openfda.package_ndc,35666,99.07222222
patient.drug.openfda.pharm_class_cs,15160,42.11111111
patient.drug.openfda.pharm_class_epc,29095,80.81944444
patient.drug.openfda.pharm_class_moa,24808,68.91111111
patient.drug.openfda.pharm_class_pe,7551,20.975
patient.drug.openfda.product_ndc,35666,99.07222222
patient.drug.openfda.product_type,35666,99.07222222
patient.drug.openfda.route,34698,96.38333333
patient.drug.openfda.rxcui,31012,86.14444444
patient.drug.openfda.spl_id,35666,99.07222222
patient.drug.openfda.spl_set_id,35666,99.07222222
patient.drug.openfda.substance_name,34689,96.35833333
patient.drug.openfda.unii,34702,96.39444444
patient.patientagegroup,12195,33.875
patient.patientonsetage,23542,65.39444444
patient.patientonsetageunit,23544,65.4
patient.patientsex,30956,85.98888889
patient.patientweight,6875,19.09722222
patient.reaction.reactionmeddrapt,36000,100
patient.reaction.reactionmeddraversionpt,36000,100
patient.reaction.reactionoutcome,34687,96.35277778
patient.summary.narrativeincludeclinical,16948,47.07777778
primarysource.literaturereference,3309,9.191666667
primarysource.qualification,35782,99.39444444
primarysource.reportercountry,36000,100
primarysourcecountry,35857,99.60277778
receiptdate,36000,100
receiptdateformat,36000,100
receivedate,36000,100
receivedateformat,36000,100
receiver.receiverorganization,36000,100
receiver.receivertype,36000,100
reportduplicate.duplicatenumb,11557,32.10277778
reportduplicate.duplicatesource,11465,31.84722222
reporttype,35975,99.93055556
safetyreportid,36000,100
safetyreportversion,36000,100
sender.senderorganization,36000,100
sender.sendertype,36000,100
serious,36000,100
seriousnesscongenitalanomali,34707,96.40833333
seriousnessdeath,34824,96.73333333
seriousnessdisabling,34718,96.43888889
seriousnesshospitalization,35164,97.67777778
seriousnesslifethreatening,34847,96.79722222
seriousnessother,35216,97.82222222
transmissiondate,36000,100
transmissiondateformat,36000,100
